Post Character ID,Full Set Character ID,Difference (%)
phone1_88,0897,12.1875
phone1_89,0203,13.0625
phone1_9,0896,12.8125
phone1_90,3448,22.5
phone1_91,1488,15.125
phone1_92,1106,14.25
phone1_93,3867,10.5
phone1_94,1571,8.5625
phone1_95,0829,9.5
phone1_96,1319,12.1875
phone1_97,4046,12.0625
phone1_98,0243,15.4375
phone1_99,1172,15.125
v1_1,2748,14.625
v1_2,0282,10.75
v1_3,0688,15.4375
